First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Justin,Anderson,21,M,10,21,15,14,1,16,5,39,0.38461538461538464,27,0.6923076923076923,1,1,1,12,9,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,,0
Sean,Sconone,50,G,10,1,0,0,0,0,1,0,0,0,0,0,0,0,20,3,3,0,0,0,0,113,0.54066985645933,102,10.108392691235677,6,0.59461133477857,29061,0,0,0,0,0,0,,5
Ryan,Conrad,15,M,8,18,10,10,0,10,8,29,0.3448275862068966,20,0.6896551724137931,1,0,0,2,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,3,0,0,,0
Jerry,Ragonese,37,FO,1,1,1,1,0,1,0,1,1,1,1,0,0,0,2,0,0,8,2,6,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jake,Pulver,12,D,10,1,1,1,0,1,0,5,0.2,3,0.6,3,0,2,14,9,14,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,DeLuca,1,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,46,0.442307692307692,59,13.098982423681777,1,0.222016651248844,12972,0,0,0,0,0,0,,9
Ryan,Brown,4,A,7,11,10,9,1,11,0,43,0.23255813953488372,27,0.627906976744186,2,0.5,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,,0
Chase,Fraser,95,A,7,13,12,12,0,12,1,39,0.3076923076923077,24,0.6153846153846154,0,0,0,15,20,3,0,0,0,0,0,0,0,0,0,0,0,2,1.5,2,2,0,0,,0
Jack,Rowlett,99,D,10,1,1,1,0,1,0,2,0.5,1,0.5,1,0,0,17,2,7,11,2,9,0.18181818181818182,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
JT,Giles-Harris,1,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,11,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Colin,Heacock,2,M,10,7,5,5,0,5,2,31,0.16129032258064516,13,0.41935483870967744,1,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,0
Dylan,Molloy,17,A,10,25,14,14,0,14,11,52,0.2692307692307692,37,0.7115384615384616,1,0,1,15,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0
Tom,Schreiber,26,M,10,35,19,17,2,21,14,52,0.36538461538461536,37,0.7115384615384616,5,0.4,3,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0
Holden,Garlent,70,D,10,2,1,0,1,2,0,3,0.3333333333333333,2,0.6666666666666666,3,0.3333333333333333,2,23,6,9,0,0,0,0,0,0,0,0,0,0,0,4,2.5,0,0,0,0,,0
Blaze,Riorden,0,G,10,1,0,0,0,0,1,3,0,1,0.3333333333333333,3,0,1,15,3,5,0,0,0,0,137,0.537254901960784,126,12.600000000000001,8,0.8,28800,0,0,0,0,0,0,,9
Mac,O'Keefe,3,M,10,16,11,9,2,13,3,30,0.36666666666666664,20,0.6666666666666666,5,0.4,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,,0
Nick,Grill,8,LSM,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Marcus,Holman,1,A,10,29,19,17,2,21,8,55,0.34545454545454546,38,0.6909090909090909,6,0.3333333333333333,3,22,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,3,4,0,1,,0
Scott,Ratliff,32,D,10,2,1,1,0,1,1,10,0.1,8,0.8,8,0,6,27,4,13,0,0,0,0,0,0,0,0,0,0,0,3,2.5,0,0,0,1,,0
Will,Manny,4,A,10,33,16,16,0,16,17,56,0.2857142857142857,41,0.7321428571428571,3,0,2,4,20,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,0,1,,0
Connor,Fields,5,M,6,16,12,12,0,12,4,32,0.375,26,0.8125,0,0,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Adam,Ghitelman,8,G,9,0,0,0,0,0,0,2,0,1,0.5,2,0,1,31,2,3,0,0,0,0,89,0.494444444444444,96,10.669136374160685,5,0.555684186154202,25914,1,1,0,0,0,0,,9
Ryan,Ambler,13,M,10,15,13,13,0,13,2,46,0.2826086956521739,27,0.5869565217391305,1,0,0,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,,0
Grant,Ament,16,A,5,16,4,3,1,5,11,20,0.2,13,0.65,2,0.5,2,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0
Mark,McNeill,21,SSDM,9,1,0,0,0,0,1,0,0,0,0,0,0,0,9,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Latrell,Harris,22,SSDM,10,2,2,2,0,2,0,3,0.6666666666666666,2,0.6666666666666666,0,0,0,18,3,4,0,0,0,0,0,0,0,0,0,0,0,3,2.5,0,0,0,0,,0
Dominique,Alexander,23,SSDM,9,2,1,1,0,1,1,1,1,1,1,0,0,0,15,0,9,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,,0
Michael,Rexrode,22,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Ryland,Rees,17,LSM,9,6,3,1,2,5,1,11,0.2727272727272727,7,0.6363636363636364,10,0.2,6,17,3,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
Jake,Withers,18,FO,6,1,1,1,0,1,0,3,0.3333333333333333,1,0.3333333333333333,0,0,0,28,2,2,147,69,76,0.46938775510204084,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Liam,Byrnes,21,D,10,0,0,0,0,0,0,4,0,1,0.25,1,0,0,27,7,15,0,0,0,0,0,0,0,0,0,0,0,3,1.5,0,0,0,0,,0
Michael,Sowers,22,A,9,32,21,21,0,21,11,59,0.3559322033898305,41,0.6949152542372882,2,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,,0
Eli,Gobrecht,25,D,10,2,1,1,0,1,1,2,0.5,1,0.5,1,0,0,20,1,7,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Kyle,Bernlohr,35,G,10,0,0,0,0,0,0,2,0,1,0.5,2,0,1,25,4,5,0,0,0,0,125,0.581395348837209,98,9.703971119133573,8,0.792160907684374,29085,0,0,0,0,0,0,,5
Jake,Carraway,19,A,2,1,1,1,0,1,0,8,0.125,5,0.625,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Christian,Scarpello,50,SSDM,6,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ethan,Walker,57,A,9,13,9,9,0,9,4,30,0.3,16,0.5333333333333333,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Mikie,Schlosser,59,M,6,5,4,3,1,5,0,18,0.2222222222222222,12,0.6666666666666666,2,0.5,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Zach,Currier,77,M,10,19,11,11,0,11,8,28,0.39285714285714285,15,0.5357142857142857,2,0,0,53,17,6,31,3,28,0.0967741935483871,0,0,0,0,0,0,0,3,2.5,0,1,0,0,,0
Tim,Muller,14,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Brad,Smith,27,M,10,22,13,12,1,14,8,57,0.22807017543859648,38,0.6666666666666666,4,0.25,2,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,,0
Steven,DeNapoli,7,SSDM,4,3,3,3,0,3,0,4,0.75,4,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Bryan,Costabile,26,M,10,20,11,10,1,12,8,65,0.16923076923076924,39,0.6,10,0.1,6,17,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,,0
Tucker,Durkin,51,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,5,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Tim,Edwards,23,SSDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,Drenner,22,M,10,20,17,17,0,17,3,51,0.3333333333333333,34,0.6666666666666666,3,0,1,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,0
Jack,Kielty,40,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Jack,Concannon,12,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,2,0,0,0,0,125,0.548245614035088,112,11.75981625287105,9,0.944985234605708,27429,1,1,0,0,0,0,,8
Peter,Dearth,54,SSDM,9,3,1,1,0,1,2,5,0.2,4,0.8,0,0,0,9,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Zach,Goodrich,14,SSDM,10,1,1,1,0,1,0,6,0.16666666666666666,3,0.5,1,0,1,9,2,6,0,0,0,0,0,0,0,0,0,0,0,5,3.5,0,0,0,0,,0
Brodie,Merrill,17,LSM,6,1,0,0,0,0,1,0,0,0,0,0,0,0,15,3,6,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Jeff,Teat,7,A,10,38,22,22,0,22,16,52,0.4230769230769231,36,0.6923076923076923,0,0,0,15,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,,0
Trevor,Baptiste,9,FO,9,10,5,4,1,6,4,18,0.2777777777777778,11,0.6111111111111112,1,1,1,83,4,1,219,153,66,0.6986301369863014,0,0,0,0,0,0,0,5,2.5,0,0,0,0,,0
JD,Colarusso,11,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,7,0.538461538461538,7,13.26315789473684,1,1.89473684210526,1520,0,0,0,0,0,0,,1
Eric,Law,15,A,10,29,18,18,0,18,11,33,0.5454545454545454,27,0.8181818181818182,0,0,0,11,23,0,0,0,0,0,0,0,0,0,0,0,0,3,2.5,2,4,0,0,,0
Jake,Richard,27,SSDM,10,2,1,1,0,1,1,4,0.25,4,1,2,0,2,9,3,7,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,,0
Stephen,Kelly,24,FO,9,5,4,4,0,4,1,7,0.5714285714285714,6,0.8571428571428571,0,0,0,65,8,0,217,106,111,0.48847926267281105,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,Whitcher,33,SSDM,10,0,0,0,0,0,0,6,0,4,0.6666666666666666,1,0,1,13,0,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
Dillon,Ward,37,G,6,1,0,0,0,0,1,0,0,0,0,0,0,0,16,3,5,0,0,0,0,73,0.506944444444444,74,12.99829226640644,3,0.526957794584044,16396,0,0,0,0,0,0,,4
Connor,Kelly,40,M,10,26,16,12,4,20,6,59,0.2711864406779661,30,0.5084745762711864,13,0.3076923076923077,9,14,18,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,9,0,0,,0
Warren,Jeffrey,27,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Cade,van Raaphorst,77,D,10,7,3,0,3,6,1,12,0.25,7,0.5833333333333334,10,0.3,5,25,5,11,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,,0
Danny,Logan,91,SSDM,10,9,4,1,3,7,2,8,0.5,6,0.75,6,0.5,5,20,3,6,12,2,10,0.16666666666666666,0,0,0,0,0,0,0,3,2,0,0,0,0,,0
Troy,Reh,10,LSM,10,1,1,1,0,1,0,3,0.3333333333333333,3,1,2,0,2,26,1,7,2,0,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,,0
Patrick,Resch,34,SSDM,10,2,1,1,0,1,1,4,0.25,3,0.75,2,0,1,15,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
CJ,Costabile,9,LSM,10,9,6,4,2,8,1,19,0.3157894736842105,11,0.5789473684210527,9,0.2222222222222222,5,29,5,2,25,13,12,0.52,0,0,0,0,0,0,0,5,3,0,1,0,0,,0
John,Crawley,44,M,9,5,4,4,0,4,1,22,0.18181818181818182,13,0.5909090909090909,1,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0
Nick,Marrocco,1,G,9,0,0,0,0,0,0,2,0,2,1,2,0,2,23,0,3,0,0,0,0,123,0.497975708502024,129,14.289780376168313,5,0.553867456440632,25999,1,1,0,0,0,0,,10
Lyle,Thompson,4,A,9,44,26,26,0,26,18,66,0.3939393939393939,42,0.6363636363636364,0,0,0,22,25,5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,5,0,0,,0
Stephen,Rehfuss,6,M,10,14,6,6,0,6,8,29,0.20689655172413793,17,0.5862068965517241,0,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Connor,Farrell,25,FO,10,2,2,2,0,2,0,11,0.18181818181818182,5,0.45454545454545453,2,0,2,90,11,1,233,135,97,0.5793991416309013,0,0,0,0,0,0,0,1,1,0,0,0,1,,0
James,Barclay,25,D,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jordan,MacIntosh,29,M,9,16,14,13,1,15,1,39,0.358974358974359,28,0.717948717948718,1,1,1,8,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,,0
Jared,Conners,28,LSM,10,4,0,0,0,0,4,4,0,2,0.5,3,0,2,18,9,6,2,0,2,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Jeff,Trainor,43,M,5,4,3,2,1,4,0,8,0.375,5,0.625,2,0.5,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Tre,Leclaire,44,M,9,8,6,6,0,6,2,24,0.25,13,0.5416666666666666,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,,0
Matt,McMahon,77,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,10,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Graeme,Hossack,81,D,10,0,0,0,0,0,0,3,0,3,1,2,0,2,38,2,11,30,5,24,0.16666666666666666,0,0,0,0,0,0,0,5,4,0,0,0,0,,0
Kyle,Pless,2,LSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Daniel,Bucaro,4,M,9,12,9,9,0,9,3,31,0.2903225806451613,17,0.5483870967741935,0,0,0,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Romar,Dennis,5,M,8,10,5,3,2,7,3,27,0.18518518518518517,14,0.5185185185185185,13,0.15384615384615385,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,,0
Dox,Aitken,6,M,8,10,8,8,0,8,2,23,0.34782608695652173,17,0.7391304347826086,0,0,0,9,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jesse,Bernhardt,36,D,10,0,0,0,0,0,0,1,0,1,1,1,0,1,22,4,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Kyle,Hartzell,81,LSM,8,3,2,1,1,3,0,4,0.5,3,0.75,3,0.3333333333333333,2,9,2,5,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,,0
Tim,Troutner,0,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,0,0,0,0,20,0.357142857142857,37,10.535890844374133,1,0.284753806604706,10114,0,0,0,0,0,0,,4
Johnny,Surdick,18,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Austin,Kaut,19,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Josh,Byrne,22,A,7,20,15,15,0,15,5,53,0.2830188679245283,32,0.6037735849056604,1,0,0,9,15,2,0,0,0,0,0,0,0,0,0,0,0,2,1.5,1,1,0,1,,0
Drew,Simoneau,23,FO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jules,Heningburg,7,M,8,19,12,12,0,12,7,36,0.3333333333333333,27,0.75,0,0,0,10,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Myles,Jones,15,M,10,22,12,9,3,15,7,55,0.21818181818181817,28,0.509090909090909,13,0.23076923076923078,5,5,12,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,,0
Eddy,Glazener,30,D,9,4,2,0,2,4,0,6,0.3333333333333333,6,1,5,0.4,5,15,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Andrew,Newbold,11,LSM,4,1,1,1,0,1,0,3,0.3333333333333333,2,0.6666666666666666,1,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mark,Cockerton,21,A,3,6,6,6,0,6,0,26,0.23076923076923078,12,0.46153846153846156,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0
Ryan,Tierney,26,M,7,5,5,5,0,5,0,14,0.35714285714285715,10,0.7142857142857143,1,0,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,0
TD,Ierlan,6,FO,10,2,1,1,0,1,1,5,0.2,3,0.6,0,0,0,78,9,5,252,135,114,0.5357142857142857,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Mike,Chanenchuk,1,M,10,22,16,14,2,18,4,61,0.26229508196721313,37,0.6065573770491803,13,0.15384615384615385,8,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,,0
Jake,Bernhardt,83,SSDM,8,1,1,1,0,1,0,2,0.5,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Brendan,Kavanagh,27,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,Terefenko,34,SSDM,10,5,2,2,0,2,3,4,0.5,3,0.75,0,0,0,21,7,6,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Kevin,Rogers,77,M,5,4,1,1,0,1,3,11,0.09090909090909091,5,0.45454545454545453,1,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,Kavanagh,10,A,10,13,8,8,0,8,5,46,0.17391304347826086,25,0.5434782608695652,0,0,0,16,19,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,2,0,0,,0