Season,Teams,average_attendance,high_average,high_team,low_average,low_team
2006,10,4,295,11,634,Denver,2,202,Chicago
2007,10,4,429,10,592,Denver,2,243,Chicago
2008,10,4,515,10,853,Denver,1,920,New Jersey
2009,6,5,557,10,127,Denver,2,569,Chicago
2010,6,5,278,10,778,Denver,2,729,Toronto
2011,6,6,417,12,331,Denver,1,214,Hamilton
2012,8,5,609,9,648,Boston,1,838,Hamilton
2013,8,5,069,9,466,Denver,1,991,Rochester
2014,8,4,759,10,383,Denver,1,204,Florida
2015,8,4,384,9,502,Denver,1,187,Rochester
2016,9,4,268,9,390,Denver,1,456,Rochester
2017,9,3,844,9,212,Denver,1,586,Charlotte
2018,9,3,619,7,758,Denver,1,364,Charlotte
2019,6,4,587,7,145,Chesapeake,1,739,Atlanta